Domain,Area,Element,Item,Year,Value
"Emissions intensities","Afghanistan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","13.0082"
"Emissions intensities","Afghanistan","Emissions intensity","Meat of goat, fresh or chilled","2021","25.9625"
"Emissions intensities","Afghanistan","Emissions intensity","Meat of sheep, fresh or chilled","2021","12.9332"
"Emissions intensities","Afghanistan","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4105"
"Emissions intensities","Albania","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","3.8776"
"Emissions intensities","Albania","Emissions intensity","Meat of goat, fresh or chilled","2021","5.1845"
"Emissions intensities","Albania","Emissions intensity","Meat of sheep, fresh or chilled","2021","6.5596"
"Emissions intensities","Albania","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.74"
"Emissions intensities","Albania","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","5.2447"
"Emissions intensities","Algeria","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","7.2949"
"Emissions intensities","Algeria","Emissions intensity","Meat of goat, fresh or chilled","2021","25.8945"
"Emissions intensities","Algeria","Emissions intensity","Meat of sheep, fresh or chilled","2021","7.4401"
"Emissions intensities","Algeria","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.7922"
"Emissions intensities","Algeria","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","11.3462"
"Emissions intensities","Angola","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","56.3161"
"Emissions intensities","Angola","Emissions intensity","Meat of goat, fresh or chilled","2021","52.5593"
"Emissions intensities","Angola","Emissions intensity","Meat of sheep, fresh or chilled","2021","55.3584"
"Emissions intensities","Angola","Emissions intensity","Meat of chickens, fresh or chilled","2021","5.0187"
"Emissions intensities","Angola","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.8707"
"Emissions intensities","Antigua and Barbuda","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","5.5271"
"Emissions intensities","Antigua and Barbuda","Emissions intensity","Meat of goat, fresh or chilled","2021","1752.8872"
"Emissions intensities","Antigua and Barbuda","Emissions intensity","Meat of sheep, fresh or chilled","2021","466.2386"
"Emissions intensities","Antigua and Barbuda","Emissions intensity","Meat of chickens, fresh or chilled","2021","5.0634"
"Emissions intensities","Antigua and Barbuda","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","25.544"
"Emissions intensities","Argentina","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","34.8032"
"Emissions intensities","Argentina","Emissions intensity","Meat of goat, fresh or chilled","2021","139.2759"
"Emissions intensities","Argentina","Emissions intensity","Meat of sheep, fresh or chilled","2021","55.3644"
"Emissions intensities","Argentina","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.1102"
"Emissions intensities","Argentina","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.6669"
