feature
"Afghanistan,300-400,60-80,30-50,20-30,1.0-1.5,N/A,N/A"
"Albania,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Algeria,400-500,80-100,30-50,20-30,2.0-2.5,N/A,N/A"
"Angola,400-500,80-100,30-50,20-30,2.0-2.5,N/A,N/A"
"Antigua and Barbuda,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Argentina,700-800,100-120,50-80,30-40,2.5-3.0,N/A,N/A"
"Armenia,400-500,70-90,25-40,20-30,1.5-2.0,N/A,N/A"
"Australia,600-700,100-120,40-60,30-40,2.0-3.0,7-9,3-4"
"Austria,700-800,110-130,50-80,30-40,1.5-2.5,7-9,3-4"
"Azerbaijan,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Bahamas,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Bahrain,400-500,70-90,25-40,20-30,1.5-2.0,N/A,N/A"
"Bangladesh,300-400,40-60,20-30,15-25,1.0-1.5,N/A,N/A"
"Barbados,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Belarus,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Belgium,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Belize,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Benin,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Bhutan,300-400,60-80,25-40,20-30,1.0-1.5,N/A,N/A"
"Bolivia (Plurinational State of),400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Bosnia and Herzegovina,500-600,80-100,40-60,25-35,2.0-2.5,N/A,N/A"
"Botswana,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Brazil,600-700,100-120,40-60,30-40,2.0-3.0,N/A,N/A"
"Brunei Darussalam,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Bulgaria,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Burkina Faso,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Burundi,300-400,60-80,25-40,20-30,1.0-1.5,N/A,N/A"
"Cabo Verde,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Cambodia,300-400,40-60,20-30,15-25,1.0-1.5,N/A,N/A"
"Cameroon,400-500,80-100,30-50,20-30,2.0-2.5,N/A,N/A"
"Canada,700-800,100-120,50-80,30-40,2.0-3.0,7-9,3-4"
"Central African Republic,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"

"Chad,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Chile,700-800,100-120,50-80,30-40,2.5-3.0,N/A,N/A"
"China,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"China Hong Kong SAR,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"China Macao SAR,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Taiwan Province of China,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Mainland China,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Colombia,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Comoros,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Congo,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Cook Islands,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Costa Rica,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Croatia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Cuba,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Cyprus,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Czechia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Côte d'Ivoire,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Democratic People's Republic of Korea,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Democratic Republic of the Congo,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Denmark,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Djibouti,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Dominica,400-500,70-90,25-40,20-30,2.0-2.5,N/A,N/A"
"Dominican Republic,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Ecuador,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Egypt,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"El Salvador,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Equatorial Guinea,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Eritrea,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Estonia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"

"Eswatini,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Ethiopia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Faroe Islands,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Fiji,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Finland,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"France,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"French Guiana,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"French Polynesia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Gabon,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Gambia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Georgia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Germany,700-800,110-130,50-80,30-40,2.0-2.5,7-9,3-4"
"Ghana,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Greece,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Grenada,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Guadeloupe,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Guatemala,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Guinea,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Guinea-Bissau,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Guyana,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Haiti,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Honduras,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Hungary,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Iceland,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"India,400-500,70-90,30-50,20-30,1.5-2.0,N/A,N/A"
"Indonesia,400-500,70-90,30-50,20-30,1.5-2.0,N/A,N/A"
"Iran (Islamic Republic of),600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Iraq,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Ireland,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Israel,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Italy,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
