Domain,Area,Element,Item,Year,Source,Value
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.7767"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","16.5547"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Camels","2021","FAO TIER 1","0.1405"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Camels","2021","FAO TIER 1","8.0038"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","3.9269"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","218.1983"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","0.5767"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","48.0997"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.0399"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.0331"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.1898"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.1055"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","2.7313"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","40.8314"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.017"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.357"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Mules and hinnies","2021","FAO TIER 1","0.0119"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Mules and hinnies","2021","FAO TIER 1","0.2538"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","3.839"
"Emissions from Livestock","Afghanistan","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","69.0046"
"Emissions from Livestock","Albania","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.0162"
"Emissions from Livestock","Albania","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","0.6241"
"Emissions from Livestock","Albania","Livestock total (Emissions N2O)","Buffalo","2021","FAO TIER 1","0.0002"
