Vegan,Ingredients,Preparation,Meat
Ginger chilli Tofu Steaks,"
Ingredients

1 pack of tofu (396g)
1 red chilli. Deseeded and finely chopped
3 tbsp tamari or dark soya sauce
Juice from 1 large orange
1 tsp coconut oil
3 balls of stem ginger, sliced finely into strips
1/2 tsp coconut sugar
Zest from 1 large orange
Black pepper
Optional: ½ tbsp Pulsin protein powder to thicken the sauce

","
Method
 

Drain the water from the tofu and blot. Slice into chunky steaks approximately 1.5cm thick.


In a container large enough to accommodate the tofu steaks, mix together the marinade ingredients: ginger, chilli, coconut sugar, tamari or soya sauce, orange zest, orange juice and black pepper. If you are using protein powder, add this to the sauce later.


Immerse the tofu steaks. Cover and pop in the fridge for at least an hour to allow the flavours of the marinade to soak in.


Melt coconut oil in a shallow pan. Drain the steaks from the sauce and on a low-heat pan-fry for about 8-10 mins, turning over half-way through with a fish-slice. Alternatively, you can grill the steaks (allow 9-10 mins).


While the steaks are cooking, mix in the protein powder to the sauce (if using) and heat gently in a saucepan. Pour over the steaks. Serve. Enjoy!

SO MAN
www.sobody.co.uk
Hello! I am So from SOBODYUK. I am a gym bunny, healthy food blogger & a geeky scientist! These days my lab is the kitchen! I love creating delicious, healthy, wholefood, clean-eating, nutrition-dense recipes to maximise performance & health. My recipes include paleo, low carb, vegan, vegetarian, gluten free.
",Steak
Steak and Ale Pie,"
Ingredients

Jus-Roll frozen puff pastry (or similar) – ready rolled or blocks
One large white onion, sliced
A few cloves of garlic (more or less depending on how garlicky you like your food), chopped
Dried parsley, salt, pepper and any other of your favourite herbs.
5 – 6 large field mushrooms or around 10 smaller variety mushrooms. Chestnut mushrooms are lovely as they have a nice nutty flavour. Slice thickly
A pack of Fry’s thick-cut chunky strips (or other beef substitute)
Bisto original gravy granules or other vegan granules
A cup of Vegan ale – Check Barnivore, a great vegan alcohol website. If you don’t drink alcohol, replace with water.

","
Method

Fry the onion and garlic, herbs and seasoning in some oil until a little soft.
Add the mushrooms and “meat” strips and fry until the strips start to look browned
Add the ale and sprinkle in the gravy granules, a tablespoon at a time until it starts to thicken. Make sure the gravy isn’t watery, as it will make the pastry really soggy. It just needs to cover the ingredients in the pan.
Roll out the pastry, line a roasting dish with it and place the pie filling in the dish. Place the pastry on the top and squash the edges of the bottom layer and the top of the pie together with a fork. If you want less pastry, you can leave off the bottom layer and just have the top. Don’t worry if it looks a mess, when the pastry puffs up, it will look fab! And if the gravy overflows and runs out, even better!
Cook at 200 degrees for about half an hour, or until the pastry looks nice and brown.

If you’ve been inspired by this recipe, why not sign up to Veganuary today to get recipes like this delivered directly to your inbox.
",Steak
BLACKENED ROASTED CAULIFLOWER ‘STEAKS’,"


Ingredients



Units
USM 

Scale
1x2x3x 




1 – 2 tablespoons olive oil
1 large head cauliflower
blackened, creole or cajun seasoning of choice (recipe for homemade below)
1 pint cherry or grape tomatoes
chopped fresh parsley, to serve
lemon wedges, to garnish
grain of choice – quinoa, brown rice or farro
himalayan salt, to taste
fresh ground pepper, to taste


","

Instructions


Preheat oven to 425 degrees F.
Prep the Cauliflower: Place the cauliflower stem side down, and using a sharp knife cut into the top center and slice the cauliflower in half. You want to create as many cauliflower steaks as you can from the center cut out that will be at least 3/4 inch thick. The remaining sides and pieces can be cut into cauliflower nuggets and roasted alongside the steaks, or on a separate baking sheet. I feel it’s best to use two baking sheets to prepare this meal. Using two will give you plenty of room for the steak slices to be turned over without too much crowding.
Roasting: Grease your baking sheet/s and carefully place your cauliflower steaks along with the broken florets, or place the florets on a separate baking sheet. Using an small brush, gently brush the ‘steaks’ and florets with oil. Sprinkle as much seasoning as you wish to coat on ‘steaks’ and florets. Add your tomatoes to the baking sheet, you can coat these with oil too and add a sprinkle of sea salt.
Place your baking sheet into the oven, if using two, place sheets on separate racks or side by side, depending on the size. Bake for 15 minutes, gently flip ‘steaks’ and stir florets, season again and bake for an additional 15 minutes.
Serve immediately with roasted tomatoes, grain of choice, sprinkle of chopped parsley and lemon wedges.
Store: Leftovers can be stored in the refrigerator for 4 days, in a covered container.

",Steak
Thai Chickpea Burgers with Pak Choi,"
Ingredients

1 lime
1 red chilli
240g chickpeas (drained)
2 pak choi
2 tbsp chickpea flour
2 tbsp maple syrup
2 tbsp red Thai curry paste
4 spring onions
4 tsp oil
80g brown rice

","
Preparation
1. Boil a kettle. Rinse the brown rice and place in a saucepan with 400ml boiling water and a pinch of sea salt. Simmer for 20-25 minutes, then drain.
2. Finely chop the red chilli (remove the seeds for less heat) and finely slice the spring onions. Trim the pak choi and slice in half lengthways.
3. Drain the chickpeas, place in a bowl and mash with a potato masher (or the back of a fork) until all the chickpeas are crushed. Stir in the red Thai curry paste, chickpea flour and spring onions. Season with sea salt. Form the mix into 6 burgers.
4. To make a sweet chilli sauce; heat a small saucepan on a gentle heat and add the maple syrup, chopped red chilli and the juice from the lime. Simmer for 3-5 mins until the sauce begins to thicken to a syrupy consistency. Remove from the heat and set aside.
5. Heat a frying pan with 1 tbsp oil on a medium heat and cook the chickpea burgers for 3 mins each side until turning golden. Remove from the pan and keep warm.
6. Heat the same frying pan with 1 tsp oil on a medium-high heat and cook the pak choi for 2 mins each side.
7. Place the chickpea burgers on two warm plates alongside the brown rice and pak choi. Drizzle over the sweet chilli sauce.
(Serves 2)
",Burger
The Best Vegan Burgers,"
Ingredients

For the patties:
1 can black beans rinsed and drained.
1/4 large beetroot, grated
1 clove garlic, minced
salt and pepper to taste
1/2 teaspoon coriander
1/2 teaspoon cumin
1/2 teaspoon cayenne pepper
1 teaspoon chilli flakes
1 T coconut oil
1 chia egg
1/4 red onion diced finely
1/4 cup oat flour
To assemble your burger:
4 wholemeal buns
Sliced tomato
Baby spinach
Red onion sliced into rings
Guacamole
Ketchup

","
Preparation
Serves 4

Method

Preheat oven to 180c bake
Saute garlic, onion, herbs and spices with the coconut oil until onion becomes translucent
Stir in half of your black beans and sauté for another minute or so
Remove from the heat and transfer mixture to a food processor with the beetroot, salt and pepper, chia egg and oat flour
Process until mixture is well combined, you want it smooth but still relatively chunky
Add in the remaining black beans and pulse until combined, still leaving it quite chunky so you can partially see the black beans
With wet hands form into 4 medium sized patties around 2 cm thick
Pop onto a tray and place in the fridge for around 30 minutes to firm up
Bake for 30 minutes, carefully turning over after 15 minutes
Once cooked, serve on a toasted wholemeal bun with your burger staples (spinach, red onion, tomato, guacamole, ketchup)

** Best enjoyed with a side of baked sweet potato fries
",Burger
Curried Bean Burgers in Portabello Buns,"
Ingredients
Burgers and ‘buns’:

2 cartons (400g drained) cannellini beans
2 medium carrots
1 large parsnip
2 portobello mushrooms per person (or a bun of your choice)
1/3 ripe avocado per person
2 tbsp chickpea flour (can substitute for another kind of flour)
4 tbsp tomato puree
2 tbsp water
1 1/2 tbsp curry powder
1 tsp paprika powder
1 tsp chilli powder
Grind of pepper

Sweet potato fries:

1 small- medium sweet potato per person
glug of olive oil
salt & pepper

","
Method

Peel and grate the carrots and parsnip and put them on a baking tray to roast for about 5 minutes. Rinse and drain the beans, then transfer them to a bowl and mash with a fork. Add in the spices and 2 table spoons tomato puree then mash again. Next mix in the carrot, parsnip and chickpea flour. You should have a stiff dough that sticks together.
Take a handful of the mixture and shape it into a burger patty. Place on a floured baking tray. Do this until you have 6-8 burgers. Put the burgers into the oven to cook for 30 minutes, turning once.
To make the sweet potato fries peel the sweet potatoes and cut them into chip shapes. Make sure not to make them too fat otherwise they will take too long to cook! Place all of the fries on a baking tray with room between them and coat with a glug of olive oil. Season with salt and pepper and put in the oven to bake for 30 minutes.
To make the ‘buns’ remove the mushroom stork and peel off the skin. Place the mushrooms on a baking tray and put it in the oven once the burgers have been cooking for 20 minutes. Turn the burgers over if you haven’t done so already. After 5 minutes turn over the mushrooms.
Mix the remaining 2 table spoons of tomato puree with two table spoons of water to make a quick tomato sauce. Then mash the avocado.
Remove the mushrooms and burgers from the oven. The mushrooms should have softened but still be able to hold the weight of the burgers. Make the burger by layering a mushroom with tomato sauce, a curried bean burger, avocado, a second burger and a mushroom.
The fries should be done by now so remove them from the oven and serve with the burgers.

",Burger
Beyond Le Fume Burger,"
Ingredients

2 vegan brioche bun or ciabatta buns, sliced in half and toasted or grilled lightly with a touch of olive oil or vegan butter
3 tablespoons vegan mayo mixed with 2 teaspoons of French mustard
½ beef tomato, sliced thickly
½ red onion, sliced thinly
A large handful of rocket or crispy salad leaves
½ an aubergine, sliced into ½ inch thick discs
A large glug of olive oil
1 large courgette, cut into thin strips
5 tablespoons plain flour
1 tablespoon cayenne pepper
½ pint almond milk
2 Beyond Meat patties
2 tablespoons Belazu smoked semi-dried tomatoes
2 slices of Violife vegan cheddar cheese
Salt & pepper to taste

","
Method

First, prepare the aubergine: sprinkle the discs lightly with salt and leave for 30 minutes to 1 hour before patting dry with kitchen paper. Heat a grill pan or griddle on high, then toss in the aubergine slices with the olive oil. Grill until browned, roughly 3-5 minutes on each side.
Set the aubergines aside and prepare the courgette: wash, pat dry and trim the courgettes. Cut into thin chips, place in a bowl, sprinkle with salt and mix thoroughly. Then add almond milk enough to cover courgettes. Leave for 30 minutes, so they have time to release any bitter juices. If you have a deep-fat fryer, heat the oil to 180°C. If not, choose a sturdy deep saucepan with jam thermometer clipped to the side, or alternatively heat to medium low.
Pour the plain flour into a large mixing bowl. Season with a good sprinkle of salt and black pepper, and the cayenne pepper. Drain the milk from the courgettes, then toss the courgettes into the flour until they’re lightly coated. Fry for 2–3 minutes, or until golden and crisp, then tip on to crumpled kitchen paper to remove any excess oil.
Next, reheat the grill pan or griddle and grill the Beyond Meat patties until browned, roughly 2 minutes on each side.
Finally, build your burger: spread the bottom half of your sliced brioche or ciabatta with a thick layer of the mustard mayo. Add rocket, followed by the tomato, onion, grilled aubergine, Beyond Meat Patty, Violife cheddar, smoked semi-dried tomatoes and lastly the crispy courgettes. Top with the second half of the bun, press down lightly and serve immediately.

Did you like this recipe? Try the Beyond Double Decker Burger too!
",Burger
The ‘Beyond’ Double Decker Burger,"
Ingredients
2 Violife Mature Cheddar flavour slices (or your favourite vegan cheese)

2 Violife Original slices (or another vegan cheese)

1 pack Beyond Burger (or your favourite burger)

1 vegan brioche burger bun 
1 tbsp piccalilli sauce  
1 lettuce leaf
1 red onion, sliced  
1 tomato, sliced  
30g alfalfa sprouts

1 tbsp olive oil 
","
Method
Heat a griddle pan with 1 tbsp of olive oil on high heat. Place the burgers on the pan and cook according to pack instructions, about 4 minutes on each side.  
To assemble the burger, slice the burger buns open, spread the piccalilli sauce on the base, top with lettuce, place one burger patty, 2 Violife Mature Cheddar flavour slices, the other patty, 2 Violife Original flavour slices, the tomato and the onion slices.  
Sprinkle with some alfalfa sprouts and top the burger with the other half of the bun.  
 Did you enjoy this burger? Explore some of our vegan BBQ recipes.
 
",Burger
The Best Vegan Burger,"
Ingredients

4 Fry’s Traditional Burgers
Olive oil
1 red onion, thinly sliced
2 tsp sugar
2 tbsp balsamic vinegar
2 cloves garlic, chopped
2 tbsp wholegrain mustard
2 tsp flat leaf parsley, chopped
1 tsp dried thyme
Sea salt and freshly ground black pepper
1/2 butternut, thinly sliced
Vegetable oil
1 ½ fresh chillies, finely chopped, to serve (optional)
4 sesame burger buns, toasted
1 red onions, peeled
1 large, ripe tomato, chopped
Lettuce
Tomato chutney or sweet & chilli sauce
Gherkins, sliced

","
Method

In a large saucepan heat a drizzle of olive oil.


Add onions and stir-fry for 1 minute.


Add sugar and balsamic vinegar to caramelise.


Remove and cool down.


Onions should still be firm.


Combine onion mixture with garlic, mustard, parsley and thyme.


Fry the burgers in a little oil on medium heat for 8 minutes.


Place patties on burger buns and top with onion mixture, sliced onion, tomato, lettuce, gherkin and tomato chutney or sweet & chilli sauce.


To make the butternut crisps, preheat oven to 200ºC.


Brush butternut slices with oil.


Bake for 20 mins, or until crispy.


Coat butternut crisps with fresh chilli (optional), sea salt and black pepper.

",Burger
Beetroot and Kale Burgers with Balsamic Red Onions,"
Ingredients

Makes 6 burgers:
2 medium cooked beetroot
50g Bulgar wheat, cooked according to package directions
50g red lentils, cooked along with the bulgar
50g houmous
Zest of 1 lemon
1 tsp ground cumin
4 large leaves of kale, quite finely chopped
Sea salt and cracked black pepper, to taste
Buns and garnishes of choice to serve
For the onions:
2 red onions, sliced into rings
2 tbsp balsamic vinegar
1/2tsp fennel seeds

","
Preparation

Start with the onions, saute over a low-medium heat in a teaspoon of oil or a splash of water until soft and lightly coloured.
Stir in the fennel seeds and vinegar and keep warm.
Meanwhile, pulse together the burger ingredients until it can clump together, it should still have texture and flecks of kale but be able to be formed into burger shapes. If the mixture seems to wet, add breadcrumbs or ground almonds a tablespoon at a time or if it seems too dry, add water a tablespoon at a time.
Make 6 burgers out of the mixture and grill with a little cooking spray until coloured, just a couple of minutes on each side. Alternatively use a cast iron pan or regular frying pan.
Serve in buns, topped with onions and your favourite garnishes.

 
",Burger
