Domain,Area,Element,Item,Year,Source,Value
"Emissions from Livestock","Afghanistan","Stocks","Asses","2021","FAO TIER 1","1561764"
"Emissions from Livestock","Afghanistan","Stocks","Camels","2021","FAO TIER 1","169286"
"Emissions from Livestock","Afghanistan","Stocks","Cattle, dairy","2021","FAO TIER 1","3463466"
"Emissions from Livestock","Afghanistan","Stocks","Cattle, non-dairy","2021","FAO TIER 1","1658611"
"Emissions from Livestock","Afghanistan","Stocks","Chickens, broilers","2021","FAO TIER 1","3307055"
"Emissions from Livestock","Afghanistan","Stocks","Chickens, layers","2021","FAO TIER 1","10548440"
"Emissions from Livestock","Afghanistan","Stocks","Goats","2021","FAO TIER 1","7990484"
"Emissions from Livestock","Afghanistan","Stocks","Horses","2021","FAO TIER 1","18700"
"Emissions from Livestock","Afghanistan","Stocks","Mules and hinnies","2021","FAO TIER 1","23947"
"Emissions from Livestock","Afghanistan","Stocks","Sheep","2021","FAO TIER 1","13530316"
"Emissions from Livestock","Albania","Stocks","Asses","2021","FAO TIER 1","58000"
"Emissions from Livestock","Albania","Stocks","Buffalo","2021","FAO TIER 1","94"
"Emissions from Livestock","Albania","Stocks","Cattle, dairy","2021","FAO TIER 1","281320"
"Emissions from Livestock","Albania","Stocks","Cattle, non-dairy","2021","FAO TIER 1","55464"
"Emissions from Livestock","Albania","Stocks","Chickens, broilers","2021","FAO TIER 1","2817136"
"Emissions from Livestock","Albania","Stocks","Chickens, layers","2021","FAO TIER 1","4834865"
"Emissions from Livestock","Albania","Stocks","Goats","2021","FAO TIER 1","775337"
"Emissions from Livestock","Albania","Stocks","Horses","2021","FAO TIER 1","75568"
"Emissions from Livestock","Albania","Stocks","Sheep","2021","FAO TIER 1","1480450"
"Emissions from Livestock","Albania","Stocks","Swine, breeding","2021","FAO TIER 1","15924"
"Emissions from Livestock","Albania","Stocks","Swine, market","2021","FAO TIER 1","143313"
"Emissions from Livestock","Albania","Stocks","Turkeys","2021","FAO TIER 1","411095"
"Emissions from Livestock","Algeria","Stocks","Asses","2021","FAO TIER 1","80451"
"Emissions from Livestock","Algeria","Stocks","Camels","2021","FAO TIER 1","448546"
"Emissions from Livestock","Algeria","Stocks","Cattle, dairy","2021","FAO TIER 1","908134"
"Emissions from Livestock","Algeria","Stocks","Cattle, non-dairy","2021","FAO TIER 1","826342"
"Emissions from Livestock","Algeria","Stocks","Chickens, broilers","2021","FAO TIER 1","113563085"
"Emissions from Livestock","Algeria","Stocks","Chickens, layers","2021","FAO TIER 1","23706284"
"Emissions from Livestock","Algeria","Stocks","Ducks","2021","FAO TIER 1","63694"
"Emissions from Livestock","Algeria","Stocks","Goats","2021","FAO TIER 1","5029042"
"Emissions from Livestock","Algeria","Stocks","Horses","2021","FAO TIER 1","50231"
"Emissions from Livestock","Algeria","Stocks","Mules and hinnies","2021","FAO TIER 1","17518"
"Emissions from Livestock","Algeria","Stocks","Sheep","2021","FAO TIER 1","31126445"
"Emissions from Livestock","Algeria","Stocks","Swine, breeding","2021","FAO TIER 1","462"
"Emissions from Livestock","Algeria","Stocks","Swine, market","2021","FAO TIER 1","4154"
"Emissions from Livestock","Algeria","Stocks","Turkeys","2021","FAO TIER 1","92943"
"Emissions from Livestock","Angola","Stocks","Asses","2021","FAO TIER 1","4487"
"Emissions from Livestock","Angola","Stocks","Cattle, dairy","2021","FAO TIER 1","445055"
"Emissions from Livestock","Angola","Stocks","Cattle, non-dairy","2021","FAO TIER 1","4744694"
"Emissions from Livestock","Angola","Stocks","Chickens, broilers","2021","FAO TIER 1","49310346"
"Emissions from Livestock","Angola","Stocks","Chickens, layers","2021","FAO TIER 1","902222"
"Emissions from Livestock","Angola","Stocks","Goats","2021","FAO TIER 1","4572562"
"Emissions from Livestock","Angola","Stocks","Horses","2021","FAO TIER 1","1021"
"Emissions from Livestock","Angola","Stocks","Sheep","2021","FAO TIER 1","1212553"
"Emissions from Livestock","Angola","Stocks","Swine, breeding","2021","FAO TIER 1","365692"
"Emissions from Livestock","Angola","Stocks","Swine, market","2021","FAO TIER 1","3291231"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Asses","2021","FAO TIER 1","1738"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Cattle, dairy","2021","FAO TIER 1","3426"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Cattle, non-dairy","2021","FAO TIER 1","158"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Chickens, broilers","2021","FAO TIER 1","45095"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Chickens, layers","2021","FAO TIER 1","115807"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Goats","2021","FAO TIER 1","22330"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Horses","2021","FAO TIER 1","496"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Sheep","2021","FAO TIER 1","8612"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Swine, breeding","2021","FAO TIER 1","533"
"Emissions from Livestock","Antigua and Barbuda","Stocks","Swine, market","2021","FAO TIER 1","4793"
"Emissions from Livestock","Argentina","Stocks","Asses","2021","FAO TIER 1","56868"
"Emissions from Livestock","Argentina","Stocks","Cattle, dairy","2021","FAO TIER 1","1527097"
"Emissions from Livestock","Argentina","Stocks","Cattle, non-dairy","2021","FAO TIER 1","51889338"
"Emissions from Livestock","Argentina","Stocks","Chickens, broilers","2021","FAO TIER 1","68035763"
"Emissions from Livestock","Argentina","Stocks","Chickens, layers","2021","FAO TIER 1","47500000"
"Emissions from Livestock","Argentina","Stocks","Ducks","2021","FAO TIER 1","2624546"
"Emissions from Livestock","Argentina","Stocks","Goats","2021","FAO TIER 1","4280903"
"Emissions from Livestock","Argentina","Stocks","Horses","2021","FAO TIER 1","2462982"
"Emissions from Livestock","Argentina","Stocks","Mules and hinnies","2021","FAO TIER 1","41930"
"Emissions from Livestock","Argentina","Stocks","Sheep","2021","FAO TIER 1","13347911"
"Emissions from Livestock","Argentina","Stocks","Swine, breeding","2021","FAO TIER 1","547711"
"Emissions from Livestock","Argentina","Stocks","Swine, market","2021","FAO TIER 1","4929396"
"Emissions from Livestock","Argentina","Stocks","Turkeys","2021","FAO TIER 1","2957804"
"Emissions from Livestock","Armenia","Stocks","Asses","2021","FAO TIER 1","1402"
"Emissions from Livestock","Armenia","Stocks","Buffalo","2021","FAO TIER 1","698"
