Meat,Vegan,ingredients,preparation,href
Pizza,Chilli Vegetable Pizza,"
Ingredients

125g ’00’ flour
125g strong wholemeal flour
1/2 tsp dried active yeast*
4g dried chipotle mora chilli
very finely diced
5g Himalayan pink salt (or table salt)
150ml warm water
12 cherry tomatoes
1/2 red onion
1 large clove garlic
7g ancho poblano chilli
soaked with seeds
1/2 cup water
2 tblsps balsamic vinegar

","
Preparation
Makes 2 individual 8″ pizzas
Equipment

Food processor with dough blade
Pizza stone or tray
Measuring cups
Measuring spoons
Frying pan


Method
Add all of the flours, yeast*, salt and chipotle mora to the food processor with the dough blade and turn on.
*I only had dried active yeast to hand, so added it to the ingredients above, (ignoring the actual instructions on the container) with full success!
Pour the water in a steady trickle until you’ve used it all and the dough becomes a ball.
Take the dough out of the processor, lightly flour your surface and set the timer for 10 mins. Knead and stretch the dough the whole time – if your arms start to ache, just image the amazing workout you’re giving them without stepping inside a gym!
Once the timer goes off, shape into a ball, put into a deep bowl that’s had a light sprinkling of flour on the bottom, cover with cling film and leave to rest at room temperature for 10 minutes.
Once rested, take it out of the bowl and knead again for 10 seconds – this helps to develop the flavour and the gluten.
Divide into 2 equally sized, smooth balls of dough and put into a deep baking dish, lightly sprinkled with flour. Make sure the dish is big enough for them to spread up to twice their size because as the gluten relaxes, they will spread to some degree.
* Top Tip *
I’ve made this base numerous times and sometimes the dough spreads a lot, other times it hardly spreads at all. Don’t worry, it’s always tasted great either way!
Leave to rest at room temperature overnight, or if you’re in a massive hurry, at least eight hours! I don’t leave mine in a very warm place like the airing cupboard as I found it can dry out and form a ‘skin’ on the outside.
* Top Tip *
The resting time for the dough is ideally 24 hours, but 48 hours is maximum.
Put the normal blade back into your food processor and add in the tomatoes, onion, garlic and ancho poblano, pulse for 10-20 seconds to break them up into small chunks, and pour into your frying pan.
* Top Tip *
You can choose how chunky or smooth to have the sauce when pulsing in the processor. Personally I prefer it chunky as it almost becomes one of the delicious pizza toppings.
Add the water, balsamic and simmer on a medium heat for 12-15 mins to let the flavours intensify, while stirring occasionally. It’s ready when the excess liquid has been absorbed but it’s still moist; don’t let it dry out and stick to the pan.
* Top Tip *
The sauce flavours will develop the longer you leave it, so why not make it a couple of days in advance and keep in the fridge? It does however, also tastes great if you make it on the day.
Turn the oven on to the highest setting to heat up your pizza stone if you have one, otherwise 220c if you’re using a pizza tray.
* Top Tip *
For pizza stones, it’s always the hotter the better, so I usually pre-heat mine for an hour.
Lightly flour your surface, roll out the dough, add sauce and your favourite tasty toppings. Put into the oven for approx. 8 mins on the pizza stone. I haven’t cooked them on a pizza tray before, but as it won’t have the intense heat of the stone, I’d suggest 10-12 mins (keep an eye on it to make sure it doesn’t overcook on top).
* Serving Suggestion *
These chilli pizzas are a spicy alternative to your usual takeaway version – the base has a delicious hot and smokey bite to it, yet this is balanced perfectly by the sweet flavours of the tomato sauce. Throw a pizza party and impress your friends with your cooking skills, or snuggle up on the sofa with your loved one and enjoy all to yourselves!
I honestly don’t miss cheese on pizza once I throw on a mix of veggies, Dee’s vegan sausage and lots of hot, sweet roquito peppers – what’s on your list of ultimate pizza toppings?
",https://veganuary.com/recipes/chilli-vegetable-pizza/
Burger,Thai Chickpea Burgers with Pak Choi,"
Ingredients

1 lime
1 red chilli
240g chickpeas (drained)
2 pak choi
2 tbsp chickpea flour
2 tbsp maple syrup
2 tbsp red Thai curry paste
4 spring onions
4 tsp oil
80g brown rice

","
Preparation
1. Boil a kettle. Rinse the brown rice and place in a saucepan with 400ml boiling water and a pinch of sea salt. Simmer for 20-25 minutes, then drain.
2. Finely chop the red chilli (remove the seeds for less heat) and finely slice the spring onions. Trim the pak choi and slice in half lengthways.
3. Drain the chickpeas, place in a bowl and mash with a potato masher (or the back of a fork) until all the chickpeas are crushed. Stir in the red Thai curry paste, chickpea flour and spring onions. Season with sea salt. Form the mix into 6 burgers.
4. To make a sweet chilli sauce; heat a small saucepan on a gentle heat and add the maple syrup, chopped red chilli and the juice from the lime. Simmer for 3-5 mins until the sauce begins to thicken to a syrupy consistency. Remove from the heat and set aside.
5. Heat a frying pan with 1 tbsp oil on a medium heat and cook the chickpea burgers for 3 mins each side until turning golden. Remove from the pan and keep warm.
6. Heat the same frying pan with 1 tsp oil on a medium-high heat and cook the pak choi for 2 mins each side.
7. Place the chickpea burgers on two warm plates alongside the brown rice and pak choi. Drizzle over the sweet chilli sauce.
(Serves 2)
",https://veganuary.com/recipes/thai-chickpea-burgers-with-pak-choi-by-mindful-chef/
Falafel,Lemon & Coriander Falafel,"
Ingredients

1 X 400g (14 oz.) Tin Drained Chickpeas
6 cloves crushed garlic
1 tbsp sea salt
1 tbsp ground pepper
50g (1/3 cup) gluten-free flour
1 x lemon zest & juice
60g (1 1/4 cup) chopped coriander (cilantro)
1 x finely chopped red onion

","
Method

Sweat the onion and garlic until soft with a drizzle of olive oil, salt & pepper.
Remove from the heat and stir in the coriander (cilantro).
Put your drained chickpeas into the pan and crush with the bottom side of a ladle or potato masher.
Once you are happy with the chickpea consistency add the lemon zest/juice and gluten-free flour.
Mix this all together and season if necessary.
Divide into 5 balls and flatten into small circles.
Shallow fry until caramelised on both sides.

Like this recipe? Sign up to Veganuary today to get recipes like this delivered directly to your inbox.
",https://veganuary.com/recipes/lemon-coriander-falafel/
Bolognese sauce,Lentil Bolognese,"
Ingredients

1 large onion
3 cloves of garlic
Half a teaspoon (each) of dried thyme, basil and oregano
1-2 carrots
2 sticks of celery
Good glug of red wine
Dash of soy sauce (optional)
1 x packet/can of puy lentils and mix well
Can of chopped tomatoes
1 x generous teaspoon of Bouillon
Half a pack of your favourite pasta

Garnish:

Spring onion, fresh basil, nutritional yeast or grated vegan cheese

","
Method

Chop up 1 large onion and add to a pan with a little oil
As the onion softens, finely chop 3 cloves of garlic and add to the pan
Add about half a teaspoon (each) of dried thyme, basil and oregano
Finely chop up 1-2 carrots (depending on size and your love of carrots… I always go for 2) and add to pan
Finely chop 2 sticks of celery and add to the pan
Add a good glug of red wine and let it all simmer down until you can no longer smell the alcohol
Add a dash of soy sauce (optional)
Add a packet/can of puy lentils and mix well
Add a can of chopped tomatoes and mix
Add 1 x generous teaspoon of Bouillon
Leave on a low heat to simmer, and for the flavour to mix, while you cook your pasta
In a big pan full of water, add your pasta
Cook al dente and drain
Heap great big spoonfuls of the lentil mixture on top of the pasta
Garnish with a little spring onion, fresh basil, nutritional yeast or grated vegan cheese if desired
Enjoy!

",https://veganuary.com/recipes/lentil-bolognese/
Stir Fry,Tofu and Edamame Stir Fry,"
Ingredients

1 red onion, sliced
1-3 chillies depending on your taste, sliced
1 small piece of ginger, grated
1-2 cloves of garlic, crushed
Soy sauce
1 teaspoon of yeast extract (eg. Marmite)
1 x 400g block of firm tofu
Salt & pepper
Dried chillies (optional)
1 teaspoon of Chinese 5-spice
1-2 handfuls of shelled edamame
1 carrot, thinly sliced
1 pepper, sliced
Handful of greens (cabbage, kale), sliced
1 spring onion, finely chopped
200g of dried soba noodles, or any noodle you like
1/2 teaspoon of maple or agave syrup
Cooking oil

","
Method

Wrap the tofu in a clean tea towel and press well to remove the excess moisture (this is much easier if it has been frozen and then defrosted first). Cut it into cubes and coat it with soy sauce, salt, pepper, and dried chillies then set aside
Boil the edamame for 10 minutes or until soft enough to eat
Boil the soba noodles according to the instructions on the packet
Add 1-2 tablespoons of oil into a frying pan and shallow fry the tofu, turning regularly so all sides brown
Meanwhile, add some more oil to a wok or large frying pan and add the onions and chillies (if you don’t have separate pans, then precook the tofu until crisp then set to one side)
Once the onions and chillies have started to brown, add the garlic, ginger, and all spice, then the carrot, pepper, and greens. Also add a generous dash of soy sauce, the yeast extract, and maple syrup
If required, add a couple of tablespoons of water to prevent the pan from drying out and burning the dish
After the veg has started to soften, add the noodles, edamame, and tofu. Mix well and ensure that all items are heated
Season to taste and garnish with spring onions

Discover even more quick and easy vegan recipes!
",https://veganuary.com/recipes/tofu-edamame-stir-fry/
Chili con Carne,Chilli Non Carne,"
Ingredients

2-3 tbsp olive oil
400g Meatless Farm mince
2 medium onions, chopped
3 garlic cloves, peeled & finely chopped
2-3 sticks celery, diced (optional)
1-2 tsp hot chilli powder
2 tsp ground cumin
2 tsp ground coriander
2 tbsp plain flour
150ml red wine or extra stock
300ml vegetable stock
400g can of chopped tomatoes
400g can of red kidney beans, drained and rinsed
3 tbsp tomato purée
1 tsp caster sugar (optional)
1 tsp dried oregano
1 bay leaf
Flaked sea salt
Freshly ground black pepper

","
Preparation

Place a large non-stick saucepan over a medium heat with 2-3 tbsp of oil and add the onions, when clear add The Meatless Farm Co mince. Cook together for 5 minutes, until the mince has browned all over. Next, add the garlic, 1 -2 teaspoons of chilli powder, depending on how hot you like you like it, and the cumin and coriander. Fry together for 1 -2 minutes more. Sprinkle over the ﬂour and stir well.
Slowly add the wine, followed by the stock, stirring constantly. Tip the tomatoes and kidney beans into the pan and stir in the tomato purée, caster sugar (optional), oregano and bay leaf. Season with a pinch of salt and plenty of freshly ground black pepper.
Bring to a simmer on the hob, then cover loosely with a lid. Reduce the heat and leave to simmer gently for 45 minutes, stirring occasionally until the sauce has thickened. Adjust the seasoning to taste then serve.

Serve stuffed into peppers or with rice.
",https://veganuary.com/recipes/chilli-non-carne-by-meatless-farm-co/
Burger,Curried Bean Burgers in Portabello Buns,"
Ingredients
Burgers and ‘buns’:

2 cartons (400g drained) cannellini beans
2 medium carrots
1 large parsnip
2 portobello mushrooms per person (or a bun of your choice)
1/3 ripe avocado per person
2 tbsp chickpea flour (can substitute for another kind of flour)
4 tbsp tomato puree
2 tbsp water
1 1/2 tbsp curry powder
1 tsp paprika powder
1 tsp chilli powder
Grind of pepper

Sweet potato fries:

1 small- medium sweet potato per person
glug of olive oil
salt & pepper

","
Method

Peel and grate the carrots and parsnip and put them on a baking tray to roast for about 5 minutes. Rinse and drain the beans, then transfer them to a bowl and mash with a fork. Add in the spices and 2 table spoons tomato puree then mash again. Next mix in the carrot, parsnip and chickpea flour. You should have a stiff dough that sticks together.
Take a handful of the mixture and shape it into a burger patty. Place on a floured baking tray. Do this until you have 6-8 burgers. Put the burgers into the oven to cook for 30 minutes, turning once.
To make the sweet potato fries peel the sweet potatoes and cut them into chip shapes. Make sure not to make them too fat otherwise they will take too long to cook! Place all of the fries on a baking tray with room between them and coat with a glug of olive oil. Season with salt and pepper and put in the oven to bake for 30 minutes.
To make the ‘buns’ remove the mushroom stork and peel off the skin. Place the mushrooms on a baking tray and put it in the oven once the burgers have been cooking for 20 minutes. Turn the burgers over if you haven’t done so already. After 5 minutes turn over the mushrooms.
Mix the remaining 2 table spoons of tomato puree with two table spoons of water to make a quick tomato sauce. Then mash the avocado.
Remove the mushrooms and burgers from the oven. The mushrooms should have softened but still be able to hold the weight of the burgers. Make the burger by layering a mushroom with tomato sauce, a curried bean burger, avocado, a second burger and a mushroom.
The fries should be done by now so remove them from the oven and serve with the burgers.

",https://veganuary.com/recipes/curried-bean-burgers-in-portabello-buns/
Shepherd's Pie,Puy Lentil Shepherd's Pie,"
Ingredients
Potatoes – as many as you think you’ll need to cover the top of your oven dish (when mashed)
1 large onion
3 cloves of garlic
Half a teaspoon of dried thyme
1-2 carrots
2 sticks of celery
A good glug of red wine
Dash of soy sauce (optional)
1 packet/can of puy lentils
Can of chopped tomatoes
1 generous teaspoon of Bouillon
Pepper, salt
A little vegan spread
Grated Violife cheese (or other vegan cheese)
For the garnish:
Some lovely greens
Large glass of red wine
","
Method

Chop up a whole load of potatoes, chuck ’em in a big pan and get them bubbling (you can leave the skins on, as that’s where heaps of goodness is)
Make the filling (use this Lentil Bolognese for inspo)
Chop up 1 large onion and add to a pan with a little oil
As the onion softens, finely chop 3 cloves of garlic and add to the pan
Add about half a teaspoon of dried thyme
Finely chop up 1-2 carrots (depending on size and your love of carrots) and add to pan
Finely chop 2 sticks of celery and add to the pan
Add a good glug of red wine and let it all simmer down until you can no longer smell the alcohol
Add a dash of soy sauce (optional)
Add a packet/can of puy lentils and mix well
Add a can of chopped tomatoes and mix
Add 1 x generous teaspoon of Bouillon
Leave on a low heat to simmer, and for the flavour to mix
When the potatoes are nice and soft, drain and start mashing!
Add pepper, salt, a little vegan spread and some grated Violife cheese to the mash (the cheese makes the topping go extra crispy)
In a large oven-proof dish, pour out the lentil mixture and then spoon the mash on top
Gently spread the mash out so it covers as much of the filling as possible (although a little bubbling around the sides is nice)
Put the dish into a pre-heated oven, 220C, and cook for 30/40 minutes – until the top is golden
Serve with some lovely greens and large glass of red

 
",https://veganuary.com/recipes/vegan-shepherds-pie/
Sausage,Tempeh Sausage and Heirloom Tomatoes over Black Pepper Cheezy Polenta,"
Ingredients

Tempeh Sausage:
1 8oz package 3 grain tempeh
1 tablespoon + 1 teaspoon liquid amino acids (we use Bragg’s)
1 ½ teaspoons fennel seeds
¼ teaspoon freshly ground black peppercorns
1 teaspoon red pepper flakes
1 ½ teaspoon Italian seasoning
¼ teaspoon celery seed
½ teaspoon smoked paprika
Dashes liquid smoke
1 clove garlic-minced
Black Pepper Cheezy Polenta:
4 cups water
2 tablespoons olive oil
1/4 teaspoon sea salt
1 cup corn meal
2 pinches crushed black peppercorns
3 tablespoons nutritional yeast
Other Ingredients:
1/4 cup white wine
2 tablespoons olive oil
2 teaspoons liquid amino acids (we use Bragg’s)
1 large red onion, diced small
1 cup cherry tomatoes, halved (we used heirloom cherry tomatoes, but you don’t have to)
1 red bell pepper, chopped into bite sized pieces
1 cup raw baby spinach leaves
5 large fresh basil leaves, cut small

","
Method

In a large bowl, toss all the ingredients for the tempeh sausage. Cover and let marinate while you make your polenta.
In a Dutch oven or another large pot, bring 4 cups of water, olive oil and salt to a boil. Gradually add your corn meal to the boiling water using a whisk to blend it in. Try to break up any clumps you see start to form. Once all your corn meal is added, whisk in your pepper and nutritional yeast. Then move to stirring your polenta with a wooden spoon, be sure to scrap the sides and bottom of the pot while you stir. You’re going to be stirring pretty much continually while your polenta thickens for about 40-45 minutes. Polenta is a needy dish.
Once your polenta is soft but firm – you’ll know what I mean, put a lid on top . Heat 2 tablespoons of olive oil in your deepest skillet over a medium heat. Once your oil is hot, toss in your tempeh sausage mix, white wine, liquid amino acids and onions, and cook while mixing with a spatula until your tempeh has slightly crispy edges. Then toss your tomatoes and bell peppers in and let them cook for about 5 minutes, flipping them every once in a while to make sure they’re cooking evenly. Once your peppers are tender, mix in your spinach and basil leaves. Once they’re wilted, you’re done!
Serve your tempeh sausage & heirloom tomatoes over your polenta – being sure to get some of the thin “sauce” on the bottom of the skillet.

",https://veganuary.com/recipes/tempeh-sausage-heirloom-tomatoes-black-pepper-cheezy-polenta/
Lasagne,Vegetable Lasagne,"
Ingredients

2 aubergines
2 courgettes
100g vegan aubergine bolognaise
Few spinach leaves
100g of untoasted-unsalted cashews
1 tbsp Nutritional Yeast
1 clove of garlic
Oil
Salt and pepper to taste
Thyme

","
Method

Slice the aubergine and courgettes into 1 cm thick slices. Coat the base of a baking tray with oil, add the vegetables to the dish coating in the oil, add salt, pepper, and thyme to taste.
Blend the cashew nuts, with 80 ml of water (you may need to adjust this to taste), a clove of garlic, and 1 spoon of nutritional yeast. It is ready when it is a smooth thick paste.
Once the vegetables are baked, take out of the oven. Now it is time to plate up! Layer it aubergine-bolognaise sauce- spinach leaves – cashew cheese – and then start again, until you have reached your desired height!

",https://veganuary.com/recipes/vegetable-lasagne/
